Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All  Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J10-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke
Colorado,2014,31,08/02/2014,625,539,10,137,23,11,,40,11,,,126,27,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2014,32,08/09/2014,593,508,10,108,22,17,,39,,12,,117,27,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Colorado,2014,33,08/16/2014,647,556,11,161,15,24,,42,,,13,102,42,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,
Colorado,2014,34,08/23/2014,660,577,,159,15,25,,39,,,10,116,26,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,
Colorado,2014,35,08/30/2014,640,571,11,152,15,23,13,41,,,,118,31,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2014,36,09/06/2014,647,570,14,128,14,22,10,56,,,,124,26,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2014,37,09/13/2014,689,593,,152,20,12,10,42,11,16,,143,34,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,
Colorado,2014,38,09/20/2014,666,592,,149,12,34,,42,12,10,,123,38,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Colorado,2014,39,09/27/2014,621,544,,140,23,25,11,40,12,,,128,26,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2014,40,10/04/2014,654,587,,150,20,24,10,44,,,11,126,26,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,
Colorado,2014,41,10/11/2014,647,577,12,144,,32,11,53,13,,11,111,28,,,,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,,
Colorado,2014,42,10/18/2014,756,669,15,158,16,36,15,42,10,13,,157,34,,,,,,,,,,,Suppressed (counts 1-9),,
Colorado,2014,43,10/25/2014,660,585,,141,13,28,,35,10,16,,128,30,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Colorado,2014,44,11/01/2014,677,591,,134,19,27,,40,13,,11,119,34,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,
Colorado,2014,45,11/08/2014,686,608,,132,13,33,11,47,10,,,152,33,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2014,46,11/15/2014,706,634,,142,15,33,13,44,14,,,131,44,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2014,47,11/22/2014,718,635,,131,18,38,11,49,,15,,144,32,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Colorado,2014,48,11/29/2014,739,666,,147,12,40,,41,10,13,,155,38,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Colorado,2014,49,12/06/2014,730,651,10,153,20,39,13,46,,12,,134,36,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Colorado,2014,50,12/13/2014,738,664,,149,16,38,25,52,,,,151,40,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2014,51,12/20/2014,749,676,,142,17,39,24,52,10,18,12,142,42,,,Suppressed (counts 1-9),,,,,,,,,,
Colorado,2014,52,12/27/2014,834,756,16,141,23,37,33,68,16,,,155,54,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2014,53,01/03/2015,947,858,13,158,22,58,50,88,,12,,182,45,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Colorado,2015,1,01/10/2015,885,797,15,149,23,44,64,65,11,15,,145,47,,,,,,,,,,,Suppressed (counts 1-9),,
Colorado,2015,2,01/17/2015,830,746,,146,19,48,33,55,14,12,,152,45,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,
Colorado,2015,3,01/24/2015,748,664,13,136,20,40,15,57,,15,,139,51,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Colorado,2015,4,01/31/2015,778,697,14,162,16,35,24,54,15,,10,140,38,,,,,,,,,,Suppressed (counts 1-9),,,
Colorado,2015,5,02/07/2015,747,673,11,163,15,40,20,54,,12,,142,38,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Colorado,2015,6,02/14/2015,687,603,,138,18,32,15,59,,,,118,36,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2015,7,02/21/2015,725,630,,127,15,26,12,51,13,13,,149,29,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,
Colorado,2015,8,02/28/2015,724,640,,145,18,17,16,56,14,,,162,27,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2015,9,03/07/2015,679,610,,142,22,26,,53,,12,,140,28,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Colorado,2015,10,03/14/2015,672,601,11,128,15,29,10,58,10,12,,137,30,,,,,,,,,,,Suppressed (counts 1-9),,
Colorado,2015,11,03/21/2015,731,633,11,134,23,35,17,54,11,,,158,37,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2015,12,03/28/2015,700,627,11,135,18,29,11,50,11,10,,147,40,,,,,,,,,,,Suppressed (counts 1-9),,
Colorado,2015,13,04/04/2015,720,653,,153,17,42,23,55,11,10,,127,35,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,
Colorado,2015,14,04/11/2015,733,640,12,162,16,25,20,45,12,13,,119,33,,,,,,,,,,,Suppressed (counts 1-9),,
Colorado,2015,15,04/18/2015,763,679,11,169,16,27,16,66,14,10,,152,44,,,,,,,,,,,Suppressed (counts 1-9),,
Colorado,2015,16,04/25/2015,735,651,12,143,16,34,14,54,,,,146,32,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2015,17,05/02/2015,709,628,,153,,22,15,55,,10,,153,30,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Colorado,2015,18,05/09/2015,656,581,,162,11,13,11,48,13,,10,116,33,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,
Colorado,2015,19,05/16/2015,723,636,,146,15,28,16,43,11,,,146,45,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2015,20,05/23/2015,726,649,14,137,14,27,10,54,,,,155,44,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2015,21,05/30/2015,680,623,14,161,20,27,12,49,14,,,129,39,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2015,22,06/06/2015,651,574,,134,22,18,12,41,12,,10,124,31,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,
Colorado,2015,23,06/13/2015,706,604,11,132,17,19,13,39,11,,,127,42,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2015,24,06/20/2015,736,648,,151,19,33,,57,12,,,135,36,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2015,25,06/27/2015,697,635,,142,25,29,10,63,11,,,128,46,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2015,26,07/04/2015,654,560,,136,20,20,10,39,0,,,132,42,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2015,27,07/11/2015,643,575,11,131,18,39,10,30,,10,,124,45,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Colorado,2015,28,07/18/2015,678,590,,148,20,36,,43,10,13,,124,30,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Colorado,2015,29,07/25/2015,688,606,13,162,16,40,,43,10,,,126,34,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2015,30,08/01/2015,700,599,,136,16,28,,49,,,,137,31,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2015,31,08/08/2015,697,607,,163,19,26,13,46,10,,,132,33,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2015,32,08/15/2015,668,587,,144,16,28,,51,,,,122,36,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2015,33,08/22/2015,656,582,,159,,27,,36,,,,143,45,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2015,34,08/29/2015,646,577,,150,18,28,,43,,,,119,26,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2015,35,09/05/2015,645,545,,144,13,28,,45,10,,,128,28,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2015,36,09/12/2015,659,555,,130,,37,,47,,,,128,40,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2015,37,09/19/2015,646,563,,138,15,32,,40,13,,,128,33,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2015,38,09/26/2015,636,549,,163,12,25,,40,12,,,121,26,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2015,39,10/03/2015,694,613,10,156,15,31,10,45,,12,,149,24,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Colorado,2015,40,10/10/2015,674,601,,154,20,32,12,38,14,,,119,37,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2015,41,10/17/2015,700,614,12,159,17,24,,46,,,13,141,39,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,
Colorado,2015,42,10/24/2015,665,579,,146,12,21,,48,,,,126,27,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2015,43,10/31/2015,696,617,11,146,16,29,,38,,,,145,31,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2015,44,11/07/2015,721,642,12,157,12,35,11,61,,,,117,46,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2015,45,11/14/2015,734,656,,150,20,38,,48,15,13,,145,31,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Colorado,2015,46,11/21/2015,711,630,,132,23,43,,57,11,10,,147,37,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Colorado,2015,47,11/28/2015,717,638,,151,22,32,,58,10,12,,130,35,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Colorado,2015,48,12/05/2015,719,654,10,160,27,32,13,36,,11,0,151,44,,,,,,,,,Suppressed (counts 1-9),,,,
Colorado,2015,49,12/12/2015,760,678,12,142,21,28,10,59,,,,158,40,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2015,50,12/19/2015,737,658,,146,16,36,10,62,13,10,,146,38,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,
Colorado,2015,51,12/26/2015,751,657,12,159,15,34,11,45,,10,,143,43,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Colorado,2015,52,01/02/2016,757,691,20,144,22,44,13,38,12,15,,158,38,,,,,,,,,,,Suppressed (counts 1-9),,
Colorado,2016,1,01/09/2016,790,716,14,174,20,34,13,62,,15,,150,34,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Colorado,2016,2,01/16/2016,802,711,12,172,20,28,19,64,15,,,161,42,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2016,3,01/23/2016,713,643,,147,13,35,16,56,,13,,159,38,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Colorado,2016,4,01/30/2016,804,719,,162,25,42,18,51,,,,150,54,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2016,5,02/06/2016,695,613,,155,24,42,14,54,,,,117,33,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2016,6,02/13/2016,788,714,,157,15,43,16,58,,,,174,35,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2016,7,02/20/2016,778,706,,145,16,37,,69,14,10,,155,45,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Colorado,2016,8,02/27/2016,743,658,,148,17,42,13,54,15,,,138,34,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2016,9,03/05/2016,737,653,11,145,10,38,20,58,14,,,139,34,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2016,10,03/12/2016,788,695,10,168,16,43,24,62,18,,,132,34,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2016,11,03/19/2016,752,666,,150,28,43,12,52,24,,,154,31,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2016,12,03/26/2016,822,751,11,158,14,29,13,68,15,12,,190,45,,,,,,,,,,,Suppressed (counts 1-9),,
Colorado,2016,13,04/02/2016,801,726,,165,28,33,12,72,12,13,,174,42,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,
Colorado,2016,14,04/09/2016,752,680,10,152,23,45,15,48,10,12,,136,48,,,,,,,,,,,Suppressed (counts 1-9),,
Colorado,2016,15,04/16/2016,752,664,12,133,14,29,17,61,13,16,,165,30,,,,,,,,,,,Suppressed (counts 1-9),,
Colorado,2016,16,04/23/2016,704,632,12,151,21,32,11,42,15,,,162,25,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2016,17,04/30/2016,725,655,,159,25,38,16,47,10,10,,151,38,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,
Colorado,2016,18,05/07/2016,802,700,,156,25,31,11,51,10,11,,158,37,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,
Colorado,2016,19,05/14/2016,764,670,12,149,17,36,15,60,,16,,126,41,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Colorado,2016,20,05/21/2016,726,636,13,176,15,30,,56,,,,150,33,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2016,21,05/28/2016,682,597,12,150,21,32,12,57,11,10,,101,36,,,,,,,,,,,Suppressed (counts 1-9),,
Colorado,2016,22,06/04/2016,660,580,10,145,22,30,,32,,13,,140,37,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Colorado,2016,23,06/11/2016,702,620,,162,17,34,,52,,,,126,35,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2016,24,06/18/2016,694,588,12,147,14,32,,38,,,,124,33,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2016,25,06/25/2016,662,564,12,154,16,38,,36,,11,,115,31,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Colorado,2016,26,07/02/2016,699,603,12,163,15,35,,41,,12,,128,41,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Colorado,2016,27,07/09/2016,670,594,11,155,16,34,0,40,,,,146,39,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2016,28,07/16/2016,695,608,,171,16,39,12,42,,,,136,30,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2016,29,07/23/2016,711,608,,155,15,26,,44,11,,,122,37,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2016,30,07/30/2016,714,619,13,171,19,33,,36,,,,146,26,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2016,31,08/06/2016,702,615,,149,15,40,10,40,,,,138,39,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2016,32,08/13/2016,632,539,,137,14,22,,49,,,,135,26,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2016,33,08/20/2016,671,590,,143,10,24,,48,16,,,135,35,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2016,34,08/27/2016,701,598,,153,11,35,,43,10,12,,128,37,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Colorado,2016,35,09/03/2016,706,615,,154,17,29,,53,,13,,122,42,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Colorado,2016,36,09/10/2016,697,603,10,152,25,40,,40,,,,119,42,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2016,37,09/17/2016,669,586,,147,,32,,46,,,,122,36,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2016,38,09/24/2016,691,603,,143,15,29,,41,11,,,131,42,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2016,39,10/01/2016,696,611,,128,20,39,,41,10,12,,147,38,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Colorado,2016,40,10/08/2016,704,596,,146,19,36,,41,11,,,135,37,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2016,41,10/15/2016,751,674,11,169,20,34,,43,11,14,,134,38,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Colorado,2016,42,10/22/2016,720,637,13,134,16,29,10,48,15,,,155,43,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
Colorado,2016,43,10/29/2016,746,653,15,150,18,41,,48,,10,,152,47,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Colorado,2016,44,11/05/2016,693,615,11,146,14,43,11,42,,,,142,47,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
