Data As Of,Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
09/27/2023,Colorado,2020,36,2020-09-05,743,637,,143,14,31,,35,10,,,130,43,20,17,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,37,2020-09-12,850,748,,168,28,31,,42,,10,,152,45,33,27,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,38,2020-09-19,804,700,10,162,25,46,,35,,,,138,34,21,20,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,39,2020-09-26,838,722,,163,17,32,,50,14,10,,161,38,24,17,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,40,2020-10-03,782,689,10,150,18,29,,38,12,,,141,49,35,28,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,41,2020-10-10,801,691,,145,17,34,,38,12,,,162,33,38,34,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,42,2020-10-17,867,779,13,163,25,36,,40,13,14,,164,41,41,34,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,43,2020-10-24,869,776,,147,25,41,,50,14,,,151,52,62,57,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,44,2020-10-31,907,828,,151,28,54,,46,,11,,148,45,96,86,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,45,2020-11-07,1007,894,12,163,19,67,,53,,,,145,50,167,148,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,46,2020-11-14,1040,941,,148,19,46,,59,14,20,,151,48,228,197,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,47,2020-11-21,1132,1029,11,155,25,49,,57,13,,,165,43,267,230,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,48,2020-11-28,1216,1117,11,177,28,57,,58,,,,188,48,348,306,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,49,2020-12-05,1256,1148,13,163,29,50,,63,14,11,,148,33,448,390,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,50,2020-12-12,1258,1155,14,157,26,58,,46,15,,,166,45,428,366,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,51,2020-12-19,1201,1116,,170,36,41,,32,16,10,,161,44,402,351,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,52,2020-12-26,1100,1013,,172,23,35,,39,13,10,,161,46,308,266,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2020,53,2021-01-02,1098,968,,153,31,48,,50,,11,,173,44,263,209,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,1,2021-01-09,1080,965,11,167,35,47,,46,14,13,,157,42,211,177,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,2,2021-01-16,1007,894,,182,23,38,,36,13,,,176,54,165,138,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,3,2021-01-23,985,851,,174,24,38,,39,17,13,,133,57,158,122,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,4,2021-01-30,932,830,,176,24,33,,41,15,13,,155,43,141,108,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,5,2021-02-06,931,822,,160,20,40,,64,17,,,155,38,118,94,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,6,2021-02-13,833,747,16,136,21,27,,48,16,,,156,39,100,80,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,7,2021-02-20,894,787,,148,32,31,,52,11,,0,167,48,65,52,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
09/27/2023,Colorado,2021,8,2021-02-27,872,755,12,143,20,48,,48,22,12,,146,47,59,46,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,9,2021-03-06,867,739,,150,16,43,,35,13,12,,147,51,51,39,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,10,2021-03-13,842,728,,153,18,39,,38,11,12,,156,41,50,36,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,11,2021-03-20,897,777,11,141,23,38,,44,13,10,,193,34,45,30,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,12,2021-03-27,884,760,10,151,27,44,,43,20,,,167,45,43,32,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,13,2021-04-03,837,720,,150,18,27,,48,14,12,,150,41,48,39,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,14,2021-04-10,802,687,,171,29,28,,40,11,,,134,38,26,19,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,15,2021-04-17,867,755,,136,25,33,,30,14,,,177,45,62,52,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,16,2021-04-24,833,711,,144,27,21,,38,17,13,,158,33,56,41,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,17,2021-05-01,844,726,,143,25,44,,50,12,,,148,50,54,44,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,18,2021-05-08,846,744,,149,17,46,,45,11,11,,163,36,72,62,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,19,2021-05-15,874,747,10,153,27,29,,40,17,12,,143,38,93,80,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,20,2021-05-22,844,721,,155,21,28,,42,15,,,135,36,69,60,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,21,2021-05-29,818,704,,142,18,23,,48,15,13,,146,44,63,54,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,22,2021-06-05,827,721,,163,29,32,,33,,,,144,34,69,58,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,23,2021-06-12,883,739,11,164,18,33,,45,,10,,155,35,48,40,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,24,2021-06-19,842,711,10,140,19,38,,38,17,13,,151,32,42,37,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,25,2021-06-26,800,673,10,126,27,21,,42,14,10,,151,31,43,31,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,26,2021-07-03,849,730,,165,17,29,,34,14,11,,146,42,44,36,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,27,2021-07-10,837,718,13,147,30,36,,36,13,10,,137,31,55,45,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,28,2021-07-17,841,722,,161,29,27,,45,11,11,,135,35,38,34,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,29,2021-07-24,863,749,10,163,19,28,,43,12,14,,162,49,45,41,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,30,2021-07-31,835,717,,146,14,29,,43,14,11,,162,33,44,37,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,31,2021-08-07,843,718,,152,25,29,,49,,15,,145,38,42,33,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,32,2021-08-14,904,773,10,172,20,23,,30,,,,156,47,64,57,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,33,2021-08-21,914,781,,167,15,31,,38,15,10,,154,34,88,75,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,34,2021-08-28,926,791,14,177,24,33,,35,12,11,,149,38,96,80,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,35,2021-09-04,911,793,11,147,24,33,,49,11,,,153,31,106,99,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,36,2021-09-11,922,793,15,166,24,30,,45,12,,,148,38,101,90,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,37,2021-09-18,979,831,14,172,24,33,,43,13,11,,162,38,122,108,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,38,2021-09-25,967,852,,143,23,36,,39,12,11,,152,54,130,117,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,39,2021-10-02,1033,907,12,167,26,35,,41,10,,,164,23,157,150,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,40,2021-10-09,991,860,,141,15,32,,49,21,10,,164,36,171,150,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,41,2021-10-16,1035,899,11,149,19,29,,51,13,21,,164,45,157,145,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,42,2021-10-23,1043,939,15,171,27,33,,49,19,10,,172,42,196,174,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,43,2021-10-30,1069,945,13,180,20,26,11,46,,10,,170,44,218,196,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,44,2021-11-06,1164,1024,11,155,36,45,,49,21,,,180,51,254,235,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,45,2021-11-13,1120,1012,10,158,32,40,,56,15,,,145,47,285,263,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,46,2021-11-20,1165,1047,,152,25,45,,41,13,,10,171,44,291,269,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
09/27/2023,Colorado,2021,47,2021-11-27,1182,1044,14,163,21,43,,51,16,19,,177,43,278,262,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,48,2021-12-04,1169,1057,,152,24,36,11,56,13,11,,186,38,293,271,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,49,2021-12-11,1128,995,,139,25,27,,50,16,14,,167,34,285,264,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,50,2021-12-18,1137,1023,12,163,27,32,,67,12,10,,174,35,252,232,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,51,2021-12-25,1098,978,,155,22,46,,49,19,12,,189,40,213,196,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2021,52,2022-01-01,1141,1028,15,167,29,45,,56,17,,,189,42,197,174,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,1,2022-01-08,1183,1073,13,180,31,37,20,60,24,19,,204,55,197,157,,,,,,,,,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,2,2022-01-15,1187,1066,10,179,32,47,11,56,,17,,198,42,243,202,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,3,2022-01-22,1196,1075,,164,29,56,16,60,12,13,,198,44,279,231,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,4,2022-01-29,1150,1033,12,151,42,41,14,55,10,10,,189,42,270,214,,,,,,,,,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,5,2022-02-05,1115,975,10,143,33,41,,55,16,15,,184,43,244,186,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,6,2022-02-12,1025,920,15,166,26,29,10,50,16,13,,154,55,189,149,,,,,,,,,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,7,2022-02-19,963,845,,161,14,27,,57,11,12,,156,46,141,105,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,8,2022-02-26,913,814,,152,21,33,,48,14,,,167,54,108,79,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,9,2022-03-05,943,828,,148,21,37,,37,16,15,,190,49,82,55,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,10,2022-03-12,924,795,,154,26,41,,49,14,15,,167,45,63,39,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,11,2022-03-19,848,748,16,152,17,29,,40,19,12,,160,49,50,28,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,12,2022-03-26,832,725,12,143,25,35,,47,13,,,153,43,43,22,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,13,2022-04-02,879,769,10,157,22,37,,35,11,13,,189,32,26,14,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,14,2022-04-09,819,716,13,177,25,31,12,46,12,,,137,40,23,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9)
09/27/2023,Colorado,2022,15,2022-04-16,883,768,,153,27,52,,45,17,11,,178,49,18,12,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,16,2022-04-23,861,751,12,148,28,26,,50,,14,,184,42,19,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9)
09/27/2023,Colorado,2022,17,2022-04-30,831,724,10,162,17,34,,51,17,,,141,41,21,10,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,18,2022-05-07,849,731,,170,14,50,13,52,12,,13,144,36,16,,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9)
09/27/2023,Colorado,2022,19,2022-05-14,869,748,11,156,20,27,13,49,21,,,156,48,20,14,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,20,2022-05-21,916,815,,175,28,39,16,61,14,10,,179,37,31,19,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,21,2022-05-28,857,737,11,153,16,40,12,46,13,12,,163,44,27,14,,,,,,,,,,,Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,22,2022-06-04,856,740,,158,22,44,,46,15,,,181,28,46,22,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,23,2022-06-11,866,732,11,154,24,33,13,39,10,,,142,34,39,23,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
09/27/2023,Colorado,2022,24,2022-06-18,853,733,11,143,22,26,,40,14,,,170,38,47,30,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
